Knowledge; Comprehension; Application; Analysis; Synthesis; Evaluation
Auflisten, Definieren, Abrufen, Angeben, Ordnen, Beschriften, Wiederholen, Merken, Benennen, Auswählen, Aufzeichnen; Übersetzen, Paraphrasieren, Diskutieren, Berichten, Auffinden, Erklären, Wiedergeben, Beschreiben, Ausdrücken, Identifizieren, Verallgemeinern, Erkennen, Klassifizieren, Zusammenfassen; Operieren, Anwenden, Benutzen, Lösen, Demonstrieren, Vorbereiten, Auswählen, Zeigen, Skizzieren, Verwenden, Üben, Dramatisieren, Interpretieren, Illustrieren, Produzieren, Planen; Analysieren, Hinterfragen, Differenzieren, Experimentieren, Untersuchen, Testen, Kategorisieren, Unterscheiden, Berechnen, Inspizieren, Kontrastieren, Skizzieren, Folgern, Vergleichen, Unterscheiden, Beurteilen, Kritisieren, Diagrammieren, Debattieren, Inventarisieren, In Beziehung setzen; Entwickeln, Anordnen, Zusammenstellen, Vorbereiten, Verwalten, Organisieren, Einrichten, Konstruieren, Vorschlagen, Formulieren, Überarbeiten, Ordnen, Sammeln, Planen, Unterstützen, Argumentieren, Entwerfen, Gestalten, Komponieren;Bewerten, Beurteilen, Beurteilen, Bewerten, Überarbeiten, Begründen, Empfehlen, Schlussfolgern, Verteidigen, Interpretieren, Vorhersagen, Schätzen, Beurteilen, Vergleichen, Bewerten, Auswählen, Auswählen, Messen
List, Define, Recall, Arrange, State, Order, Label, Repeat, Memorize, Name, Select, Record; Translate, Paraphrase, Discuss, Report, Locate, Explain, Restate, Describe, Express, Identify, Generalize, Recognize, Classify, Summarize; Operate, Apply, Use, Solve, Demonstrate, Prepare, Choose, Show, Sketch, Employ, Practice, Dramatize, Interpret, Illustrate, Produce, Schedule; Analyze, Question, Differentiate, Experiment, Examine, Test, Categorize, Distinguish, Calculate, Inspect, Contrast, Outline, Infer, Compare, Discriminate, Appraise, Criticize, Diagram, Debate, Inventory, Relate; Develop, Rearrange, Assemble, Prepare, Manage, Organize, Set up, Construct, Propose, Formulate, Revise, Arrange, Collect, Plan, Support, Argue, Design, Create, Compose; Rate, Evaluate, Assess, Judge, Value, Revise, Justify, Recommend, Conclude, Defend, Interpret, Predict, Estimate, Appraise, Compare, Score, Select, Choose, Measure
